127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17913500]	Mysql Execute Result:{"id":2,"good_title":"青意萱 青意宣 特大号落地紫砂陶瓷花盆红砂紫砂花盆 客厅花卉绿植粗砂花盆 口径19cm 大号","short_title":"青意萱 青意宣 特大号落地紫砂陶瓷花盆红砂紫砂花盆 客厅花卉绿植粗砂花盆 口径19cm 大号","good_pic":"http:\/\/m.kjshg.com\/Uploads\/Picture\/2016-05-18\/573bd174d95f2.jpg","good_tag":"标签一","good_price":2000,"good_tax":0,"good_trade_type":"现货"}
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17928200]	Mysql Execute Query:["select good_desc, good_detail, good_pack_list, good_attention, good_delivery_region from goods_extends where good_id = ?",[2],true]
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17985100]	Mysql Execute Result:{"good_desc":5,"good_detail":"","good_pack_list":3,"good_attention":2,"good_delivery_region":"1,上海市"}
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17998400]	Mysql Execute Query:["select id, spec_title, spec_sn, stock, price from goods_spec where good_id = ?",[2],false]
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.18059000]	Mysql Execute Result:[{"id":3,"spec_title":"测试","spec_sn":123132,"stock":0,"price":0}]
127.0.0.1[Info] pid[5998][05-25 09:37:13 0.97682500]	RedisCommands Args:["get","ApiLimit:home:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:37:13 0.97721900]	RedisCommands Result:false
127.0.0.1[Info] pid[5998][05-25 09:37:13 0.97858900]	RedisCommands Args:["setex","ApiLimit:home:index:127.0.0.1",1,1]
127.0.0.1[Info] pid[5998][05-25 09:37:13 0.97894900]	RedisCommands Result:1
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00434500]	RedisCommands Args:["get","ApiLimit:good:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00525800]	RedisCommands Result:false
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00547600]	RedisCommands Args:["setex","ApiLimit:good:index:127.0.0.1",1,1]
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00583300]	RedisCommands Result:1
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00599600]	Mysql Execute Query:["select count(*) as total from goods where good_state = ?",["正常"],true]
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00663800]	Mysql Execute Result:{"total":12}
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00681500]	Mysql Execute Query:["select id, good_title, short_title, good_pic, good_tag, good_price, good_tax, good_trade_type from goods where good_state = ?  limit ?, ?",["正常",0,4],false]
127.0.0.1[Info] pid[5998][05-25 09:37:14 0.00765300]	Mysql Execute Result:[{"id":1,"good_title":"这个是测试商品","short_title":"测试商品","good_pic":"http:\/\/images.demo.com\/uploads\/product\/2018-05-15\/20180515133900.jpeg","good_tag":"测试,商品","good_price":1000,"good_tax":0.17,"good_trade_type":"现货"},{"id":2,"good_title":"青意萱 青意宣 特大号落地紫砂陶瓷花盆红砂紫砂花盆 客厅花卉绿植粗砂花盆 口径19cm 大号","short_title":"青意萱 青意宣 特大号落地紫砂陶瓷花盆红砂紫砂花盆 客厅花卉绿植粗砂花盆 口径19cm 大号","good_pic":"http:\/\/m.kjshg.com\/Uploads\/Picture\/2016-05-18\/573bd174d95f2.jpg","good_tag":"标签一","good_price":2000,"good_tax":0,"good_trade_type":"现货"},{"id":7,"good_title":"测试1","short_title":"测试1234","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一","good_price":2100,"good_tax":0,"good_trade_type":"现货"},{"id":8,"good_title":"测试1","short_title":"测试1234","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一","good_price":2600,"good_tax":0,"good_trade_type":"现货"}]
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97500000]	RedisCommands Args:["get","ApiLimit:good:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97541000]	RedisCommands Result:false
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97670500]	RedisCommands Args:["setex","ApiLimit:good:index:127.0.0.1",1,1]
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97701100]	RedisCommands Result:1
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97715800]	Mysql Execute Query:["select count(*) as total from goods where good_state = ?",["正常"],true]
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97787300]	Mysql Execute Result:{"total":12}
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97813300]	Mysql Execute Query:["select id, good_title, short_title, good_pic, good_tag, good_price, good_tax, good_trade_type from goods where good_state = ?  limit ?, ?",["正常",4,4],false]
127.0.0.1[Info] pid[5998][05-25 09:37:15 0.97875800]	Mysql Execute Result:[{"id":9,"good_title":"测试产品1","short_title":"测试产品1","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一","good_price":2810,"good_tax":0,"good_trade_type":"现货"},{"id":10,"good_title":"测试产品2","short_title":"测试产品2","good_pic":"http:\/\/images.demo.com\/uploads\/product\/2018-05-15\/20180515133738.jpeg","good_tag":"标签一","good_price":0,"good_tax":0,"good_trade_type":"现货"},{"id":11,"good_title":"测试商品3","short_title":"测试商品3","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一,测试商品3","good_price":0,"good_tax":0,"good_trade_type":"现货"},{"id":12,"good_title":"测试商品3","short_title":"测试商品3","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一,测试商品3","good_price":0,"good_tax":0,"good_trade_type":"现货"}]
127.0.0.1[Info] pid[5998][05-25 09:37:16 0.49926400]	RedisCommands Args:["get","ApiLimit:good:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:37:16 0.50021100]	RedisCommands Result:1
127.0.0.1[Info] pid[5998][05-25 09:37:16 0.50108600]	RedisCommands Args:["incr","ApiLimit:good:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:37:16 0.50139500]	RedisCommands Result:2
127.0.0.1[Info] pid[5998][05-25 09:37:16 0.50154200]	Mysql Execute Query:["select count(*) as total from goods where good_state = ?",["正常"],true]
127.0.0.1[Info] pid[5998][05-25 09:37:16 0.50237000]	Mysql Execute Result:{"total":12}
